REACHABLE quiz boards (full focus x discovered enumeration) = 1857
boards containing a dead end: 867/1857
boards where a dead end also duplicates a made char (each-key crash): 81
  天明林 (一大日月木木) stuck=1/2 dupStuck=0 first@n=7 focus=大
  天林明 (一大木木日月) stuck=1/2 dupStuck=0 first@n=7 focus=大
  本天林 (木一一大木木) stuck=1/2 dupStuck=1 first@n=7 focus=一
  天林本 (一大木木木一) stuck=1/2 dupStuck=1 first@n=7 focus=大
  明天林 (日月一大木木) stuck=1/2 dupStuck=0 first@n=7 focus=日
  林本天 (木木木一一大) stuck=1/2 dupStuck=1 first@n=7 focus=木
  林天明 (木木一大日月) stuck=1/2 dupStuck=0 first@n=7 focus=林
  林明天 (木木日月一大) stuck=1/2 dupStuck=0 first@n=7 focus=林
  明林天 (日月木木一大) stuck=1/2 dupStuck=0 first@n=7 focus=日
  本林天 (木一木木一大) stuck=1/2 dupStuck=1 first@n=7 focus=本
  天星林 (一大日生木木) stuck=1/2 dupStuck=0 first@n=10 focus=大
  林星天 (木木日生一大) stuck=1/2 dupStuck=0 first@n=10 focus=林
  星林天 (日生木木一大) stuck=1/2 dupStuck=0 first@n=10 focus=生
  間林天 (門日木木一大) stuck=1/2 dupStuck=0 first@n=13 focus=門
  天林間 (一大木木門日) stuck=1/2 dupStuck=0 first@n=13 focus=大
  林天間 (木木一大門日) stuck=1/2 dupStuck=0 first@n=13 focus=林
  林李本 (木木木子木一) stuck=1/2 dupStuck=1 first@n=53 focus=木
  李好林 (木子女子木木) stuck=1/2 dupStuck=1 first@n=53 focus=子
  好林明 (女子木木日月) stuck=1/2 dupStuck=0 first@n=53 focus=女
  好明林 (女子日月木木) stuck=1/2 dupStuck=0 first@n=53 focus=女
  好星林 (女子日生木木) stuck=1/2 dupStuck=0 first@n=53 focus=女
  本天李 (木一一大木子) stuck=2/3 dupStuck=1 first@n=53 focus=一
  本李明 (木一木子日月) stuck=1/2 dupStuck=0 first@n=53 focus=本
  天李明 (一大木子日月) stuck=1/2 dupStuck=0 first@n=53 focus=大
  本明李 (木一日月木子) stuck=1/2 dupStuck=0 first@n=53 focus=本
  天明李 (一大日月木子) stuck=1/2 dupStuck=0 first@n=53 focus=大
  本星李 (木一日生木子) stuck=1/2 dupStuck=0 first@n=53 focus=本
  天星李 (一大日生木子) stuck=1/2 dupStuck=0 first@n=53 focus=大
  本林李 (木一木木木子) stuck=1/2 dupStuck=1 first@n=53 focus=本
  好林李 (女子木木木子) stuck=1/2 dupStuck=1 first@n=53 focus=女
  天林李 (一大木木木子) stuck=2/3 dupStuck=0 first@n=53 focus=大
  李好本 (木子女子木一) stuck=2/3 dupStuck=1 first@n=53 focus=子
  李本明 (木子木一日月) stuck=1/2 dupStuck=0 first@n=53 focus=李
  好本明 (女子木一日月) stuck=1/2 dupStuck=0 first@n=53 focus=女
  李明本 (木子日月木一) stuck=1/2 dupStuck=0 first@n=53 focus=李
  好明本 (女子日月木一) stuck=1/2 dupStuck=0 first@n=53 focus=女
  李星本 (木子日生木一) stuck=1/2 dupStuck=0 first@n=53 focus=李
  好星本 (女子日生木一) stuck=1/2 dupStuck=0 first@n=53 focus=女
  李林本 (木子木木木一) stuck=1/2 dupStuck=1 first@n=53 focus=李
  好林本 (女子木木木一) stuck=2/3 dupStuck=0 first@n=53 focus=女
  明李本 (日月木子木一) stuck=1/2 dupStuck=0 first@n=53 focus=月
  星李本 (日生木子木一) stuck=1/2 dupStuck=0 first@n=53 focus=生
  好李本 (女子木子木一) stuck=2/3 dupStuck=1 first@n=53 focus=女
  天李本 (一大木子木一) stuck=2/3 dupStuck=1 first@n=53 focus=大
  間李本 (門日木子木一) stuck=1/2 dupStuck=0 first@n=53 focus=門
  林好明 (木木女子日月) stuck=1/2 dupStuck=0 first@n=53 focus=林
  本天好 (木一一大女子) stuck=1/2 dupStuck=0 first@n=53 focus=一
  本好明 (木一女子日月) stuck=1/2 dupStuck=0 first@n=53 focus=本
